지점,지점명,일시,강수량(mm)
90,속초,2026-04-04 05:00,0
90,속초,2026-04-04 06:00,0
90,속초,2026-04-04 07:00,.3
90,속초,2026-04-04 08:00,.9
90,속초,2026-04-04 09:00,.8
90,속초,2026-04-04 10:00,0
93,북춘천,2026-04-04 05:00,0
93,북춘천,2026-04-04 06:00,.1
93,북춘천,2026-04-04 07:00,1.3
93,북춘천,2026-04-04 08:00,1.2
93,북춘천,2026-04-04 09:00,.1
99,파주,2026-04-04 04:00,0
100,대관령,2026-04-04 05:00,.4
100,대관령,2026-04-04 06:00,1.4
100,대관령,2026-04-04 07:00,.4
100,대관령,2026-04-04 08:00,.4
100,대관령,2026-04-04 09:00,2.3
100,대관령,2026-04-04 10:00,4.8
100,대관령,2026-04-04 11:00,2.4
100,대관령,2026-04-04 12:00,.3
101,춘천,2026-04-04 02:00,0
101,춘천,2026-04-04 04:00,0
101,춘천,2026-04-04 05:00,.1
101,춘천,2026-04-04 06:00,.3
101,춘천,2026-04-04 07:00,1.8
101,춘천,2026-04-04 08:00,1.7
101,춘천,2026-04-04 09:00,.2
102,백령도,2026-04-04 04:00,.2
102,백령도,2026-04-04 07:00,.2
102,백령도,2026-04-04 08:00,.3
102,백령도,2026-04-04 09:00,.1
102,백령도,2026-04-04 10:00,.2
104,북강릉,2026-04-04 05:00,0
104,북강릉,2026-04-04 06:00,.5
104,북강릉,2026-04-04 07:00,0
104,북강릉,2026-04-04 08:00,.7
104,북강릉,2026-04-04 09:00,2.1
104,북강릉,2026-04-04 10:00,3.4
104,북강릉,2026-04-04 11:00,2.3
104,북강릉,2026-04-04 12:00,.7
104,북강릉,2026-04-04 13:00,0
105,강릉,2026-04-04 05:00,0
105,강릉,2026-04-04 06:00,.1
105,강릉,2026-04-04 07:00,.1
105,강릉,2026-04-04 08:00,.4
105,강릉,2026-04-04 09:00,1.9
105,강릉,2026-04-04 10:00,4.4
105,강릉,2026-04-04 11:00,3
105,강릉,2026-04-04 12:00,.6
106,동해,2026-04-04 05:00,0
106,동해,2026-04-04 06:00,0
106,동해,2026-04-04 07:00,.4
106,동해,2026-04-04 08:00,1.4
106,동해,2026-04-04 09:00,3.5
106,동해,2026-04-04 10:00,4.6
106,동해,2026-04-04 11:00,5.1
106,동해,2026-04-04 12:00,1.4
106,동해,2026-04-04 13:00,.2
106,동해,2026-04-04 14:00,.3
108,서울,2026-04-04 01:00,0
108,서울,2026-04-04 02:00,0
108,서울,2026-04-04 03:00,0
108,서울,2026-04-04 04:00,0
108,서울,2026-04-04 05:00,0
108,서울,2026-04-04 06:00,0
108,서울,2026-04-04 07:00,0
108,서울,2026-04-04 08:00,0
112,인천,2026-04-04 04:00,0
112,인천,2026-04-04 05:00,0
112,인천,2026-04-04 07:00,.1
114,원주,2026-04-04 01:00,0
114,원주,2026-04-04 02:00,0
114,원주,2026-04-04 03:00,0
114,원주,2026-04-04 04:00,.7
114,원주,2026-04-04 05:00,2.5
114,원주,2026-04-04 06:00,1.5
114,원주,2026-04-04 07:00,1
114,원주,2026-04-04 08:00,.1
114,원주,2026-04-04 09:00,1.3
114,원주,2026-04-04 10:00,2.6
114,원주,2026-04-04 11:00,.8
115,울릉도,2026-04-04 03:00,.2
115,울릉도,2026-04-04 04:00,1.8
115,울릉도,2026-04-04 05:00,1
115,울릉도,2026-04-04 06:00,1.5
115,울릉도,2026-04-04 07:00,2
115,울릉도,2026-04-04 08:00,3
115,울릉도,2026-04-04 09:00,6.6
115,울릉도,2026-04-04 10:00,6.2
115,울릉도,2026-04-04 11:00,10.3
115,울릉도,2026-04-04 12:00,13.5
115,울릉도,2026-04-04 13:00,9
115,울릉도,2026-04-04 14:00,2.1
115,울릉도,2026-04-04 15:00,.3
119,수원,2026-04-04 01:00,0
119,수원,2026-04-04 02:00,.4
119,수원,2026-04-04 03:00,0
119,수원,2026-04-04 04:00,0
119,수원,2026-04-04 05:00,0
119,수원,2026-04-04 06:00,.2
119,수원,2026-04-04 07:00,.7
119,수원,2026-04-04 08:00,.7
119,수원,2026-04-04 09:00,1.1
121,영월,2026-04-04 02:00,0
121,영월,2026-04-04 03:00,.3
121,영월,2026-04-04 04:00,.6
121,영월,2026-04-04 05:00,1.5
121,영월,2026-04-04 06:00,1.9
121,영월,2026-04-04 07:00,2.4
121,영월,2026-04-04 08:00,3.2
121,영월,2026-04-04 09:00,4.7
121,영월,2026-04-04 10:00,3.4
121,영월,2026-04-04 11:00,2.6
121,영월,2026-04-04 12:00,.2
121,영월,2026-04-04 13:00,0
127,충주,2026-04-04 01:00,0
