지점,지점명,일시,강수량(mm)
127,충주,2026-04-04 02:00,.2
127,충주,2026-04-04 03:00,1.7
127,충주,2026-04-04 04:00,2
127,충주,2026-04-04 05:00,2.8
127,충주,2026-04-04 06:00,2.8
127,충주,2026-04-04 07:00,1.1
127,충주,2026-04-04 08:00,3.4
127,충주,2026-04-04 09:00,3.1
127,충주,2026-04-04 10:00,2.2
127,충주,2026-04-04 11:00,1
129,서산,2026-04-04 01:00,.3
129,서산,2026-04-04 02:00,.5
129,서산,2026-04-04 03:00,.6
129,서산,2026-04-04 04:00,1.9
129,서산,2026-04-04 05:00,.6
129,서산,2026-04-04 06:00,1.1
129,서산,2026-04-04 07:00,1.6
129,서산,2026-04-04 08:00,.3
129,서산,2026-04-04 09:00,.9
130,울진,2026-04-04 03:00,0
130,울진,2026-04-04 04:00,.3
130,울진,2026-04-04 05:00,.5
130,울진,2026-04-04 06:00,2.3
130,울진,2026-04-04 07:00,4.8
130,울진,2026-04-04 08:00,4.8
130,울진,2026-04-04 09:00,5.1
130,울진,2026-04-04 10:00,5.6
130,울진,2026-04-04 11:00,4.8
130,울진,2026-04-04 12:00,2.8
130,울진,2026-04-04 13:00,.5
130,울진,2026-04-04 14:00,.2
130,울진,2026-04-04 15:00,.1
131,청주,2026-04-04 01:00,.2
131,청주,2026-04-04 02:00,1.2
131,청주,2026-04-04 03:00,3.2
131,청주,2026-04-04 04:00,3.4
131,청주,2026-04-04 05:00,5.6
131,청주,2026-04-04 06:00,3.3
131,청주,2026-04-04 07:00,1.2
131,청주,2026-04-04 08:00,2.3
131,청주,2026-04-04 09:00,1.7
131,청주,2026-04-04 10:00,.4
131,청주,2026-04-04 11:00,.4
131,청주,2026-04-04 12:00,.1
133,대전,2026-04-04 01:00,.4
133,대전,2026-04-04 02:00,2.7
133,대전,2026-04-04 03:00,4.8
133,대전,2026-04-04 04:00,6.1
133,대전,2026-04-04 05:00,4.9
133,대전,2026-04-04 06:00,3.3
133,대전,2026-04-04 07:00,4.2
133,대전,2026-04-04 08:00,5
133,대전,2026-04-04 09:00,2.3
133,대전,2026-04-04 10:00,.1
133,대전,2026-04-04 11:00,0
133,대전,2026-04-04 12:00,0
135,추풍령,2026-04-04 01:00,1.3
135,추풍령,2026-04-04 02:00,2.8
135,추풍령,2026-04-04 03:00,4
135,추풍령,2026-04-04 04:00,3.7
135,추풍령,2026-04-04 05:00,3.7
135,추풍령,2026-04-04 06:00,6.5
135,추풍령,2026-04-04 07:00,6.8
135,추풍령,2026-04-04 08:00,3.1
135,추풍령,2026-04-04 09:00,5.3
135,추풍령,2026-04-04 10:00,2.1
135,추풍령,2026-04-04 11:00,.4
136,안동,2026-04-04 01:00,0
136,안동,2026-04-04 02:00,.8
136,안동,2026-04-04 03:00,2.1
136,안동,2026-04-04 04:00,1.9
136,안동,2026-04-04 05:00,5.5
136,안동,2026-04-04 06:00,4.1
136,안동,2026-04-04 07:00,5.7
136,안동,2026-04-04 08:00,5.1
136,안동,2026-04-04 09:00,3.8
136,안동,2026-04-04 10:00,3.7
136,안동,2026-04-04 11:00,1.9
136,안동,2026-04-04 12:00,.4
136,안동,2026-04-04 13:00,.1
137,상주,2026-04-04 01:00,.3
137,상주,2026-04-04 02:00,2.8
137,상주,2026-04-04 03:00,2.4
137,상주,2026-04-04 04:00,6.7
137,상주,2026-04-04 05:00,2.7
137,상주,2026-04-04 06:00,3.8
137,상주,2026-04-04 07:00,4.7
137,상주,2026-04-04 08:00,4.8
137,상주,2026-04-04 09:00,5
137,상주,2026-04-04 10:00,5.1
137,상주,2026-04-04 11:00,.7
137,상주,2026-04-04 12:00,.1
137,상주,2026-04-04 15:00,0
138,포항,2026-04-04 01:00,.4
138,포항,2026-04-04 02:00,.8
138,포항,2026-04-04 03:00,1.9
138,포항,2026-04-04 04:00,3.5
138,포항,2026-04-04 05:00,4.4
138,포항,2026-04-04 06:00,5.2
138,포항,2026-04-04 07:00,3.8
138,포항,2026-04-04 08:00,4
138,포항,2026-04-04 09:00,2.6
138,포항,2026-04-04 10:00,2.8
138,포항,2026-04-04 11:00,5.6
138,포항,2026-04-04 12:00,1.1
138,포항,2026-04-04 13:00,0
140,군산,2026-04-04 01:00,2.2
140,군산,2026-04-04 02:00,3.5
140,군산,2026-04-04 03:00,5.1
140,군산,2026-04-04 04:00,7.7
140,군산,2026-04-04 05:00,5.9
140,군산,2026-04-04 06:00,5
140,군산,2026-04-04 07:00,4.2
140,군산,2026-04-04 08:00,1.6
140,군산,2026-04-04 09:00,.9
143,대구,2026-04-04 01:00,1.9
143,대구,2026-04-04 02:00,1.6
143,대구,2026-04-04 03:00,1.8
143,대구,2026-04-04 04:00,3
143,대구,2026-04-04 05:00,3.1
143,대구,2026-04-04 06:00,5
143,대구,2026-04-04 07:00,5
143,대구,2026-04-04 08:00,2.8
143,대구,2026-04-04 09:00,2.3
143,대구,2026-04-04 10:00,7.3
143,대구,2026-04-04 11:00,1.8
143,대구,2026-04-04 12:00,.7
143,대구,2026-04-04 13:00,0
146,전주,2026-04-04 01:00,1.6
146,전주,2026-04-04 02:00,3.6
146,전주,2026-04-04 03:00,4.9
146,전주,2026-04-04 04:00,5.2
146,전주,2026-04-04 05:00,6.2
146,전주,2026-04-04 06:00,7.2
146,전주,2026-04-04 07:00,7.3
146,전주,2026-04-04 08:00,5.5
146,전주,2026-04-04 09:00,.8
146,전주,2026-04-04 10:00,0
146,전주,2026-04-04 23:00,0
146,전주,2026-04-05 00:00,0
152,울산,2026-04-04 01:00,.9
152,울산,2026-04-04 02:00,1.3
152,울산,2026-04-04 03:00,2.3
152,울산,2026-04-04 04:00,3.9
152,울산,2026-04-04 05:00,3.1
152,울산,2026-04-04 06:00,6
152,울산,2026-04-04 07:00,7.5
152,울산,2026-04-04 08:00,6
152,울산,2026-04-04 09:00,4.2
152,울산,2026-04-04 10:00,7.5
152,울산,2026-04-04 11:00,1.4
152,울산,2026-04-04 12:00,.1
152,울산,2026-04-04 13:00,.2
152,울산,2026-04-04 14:00,0
155,창원,2026-04-04 01:00,1.7
155,창원,2026-04-04 02:00,2.9
155,창원,2026-04-04 03:00,2.3
155,창원,2026-04-04 04:00,5.1
155,창원,2026-04-04 05:00,6.6
155,창원,2026-04-04 06:00,9.6
155,창원,2026-04-04 07:00,11.7
155,창원,2026-04-04 08:00,12.4
155,창원,2026-04-04 09:00,10.1
155,창원,2026-04-04 10:00,2.2
155,창원,2026-04-04 11:00,.9
155,창원,2026-04-04 12:00,.2
156,광주,2026-04-04 01:00,3
156,광주,2026-04-04 02:00,2.5
156,광주,2026-04-04 03:00,3.9
156,광주,2026-04-04 04:00,6.8
156,광주,2026-04-04 05:00,7
156,광주,2026-04-04 06:00,2.2
156,광주,2026-04-04 07:00,5.4
156,광주,2026-04-04 08:00,.8
156,광주,2026-04-04 09:00,.7
156,광주,2026-04-04 10:00,0
156,광주,2026-04-04 23:00,0
156,광주,2026-04-05 00:00,0
159,부산,2026-04-04 01:00,1.4
159,부산,2026-04-04 02:00,1.6
159,부산,2026-04-04 03:00,1.8
159,부산,2026-04-04 04:00,3
159,부산,2026-04-04 05:00,6.9
159,부산,2026-04-04 06:00,12.3
159,부산,2026-04-04 07:00,12.6
159,부산,2026-04-04 08:00,13.7
159,부산,2026-04-04 09:00,4
159,부산,2026-04-04 10:00,2.1
159,부산,2026-04-04 11:00,.3
159,부산,2026-04-04 12:00,1.3
159,부산,2026-04-04 13:00,.5
162,통영,2026-04-04 01:00,1.8
162,통영,2026-04-04 02:00,5.2
162,통영,2026-04-04 03:00,4.1
162,통영,2026-04-04 04:00,4.6
162,통영,2026-04-04 05:00,5.4
162,통영,2026-04-04 06:00,8.6
162,통영,2026-04-04 07:00,10.4
162,통영,2026-04-04 08:00,4.8
162,통영,2026-04-04 09:00,4.3
162,통영,2026-04-04 10:00,.1
162,통영,2026-04-04 11:00,.4
162,통영,2026-04-04 12:00,0
165,목포,2026-04-04 01:00,3.6
165,목포,2026-04-04 02:00,5.1
165,목포,2026-04-04 03:00,6.4
165,목포,2026-04-04 04:00,10.9
165,목포,2026-04-04 05:00,4.2
165,목포,2026-04-04 06:00,3.3
165,목포,2026-04-04 07:00,1.2
165,목포,2026-04-04 08:00,.7
165,목포,2026-04-04 09:00,.1
165,목포,2026-04-04 20:00,0
165,목포,2026-04-04 21:00,0
168,여수,2026-04-04 01:00,4.5
168,여수,2026-04-04 02:00,5.3
168,여수,2026-04-04 03:00,4
168,여수,2026-04-04 04:00,10
168,여수,2026-04-04 05:00,11.8
168,여수,2026-04-04 06:00,15.8
168,여수,2026-04-04 07:00,9.5
168,여수,2026-04-04 08:00,4.5
168,여수,2026-04-04 09:00,.6
168,여수,2026-04-04 10:00,1
168,여수,2026-04-04 11:00,.2
169,흑산도,2026-04-04 01:00,3
169,흑산도,2026-04-04 02:00,6.4
169,흑산도,2026-04-04 03:00,6.3
169,흑산도,2026-04-04 04:00,1.8
169,흑산도,2026-04-04 05:00,2.2
169,흑산도,2026-04-04 06:00,1.3
169,흑산도,2026-04-04 07:00,.3
169,흑산도,2026-04-04 08:00,.2
170,완도,2026-04-04 01:00,6.4
170,완도,2026-04-04 02:00,7.9
170,완도,2026-04-04 03:00,10.2
170,완도,2026-04-04 04:00,15.1
170,완도,2026-04-04 05:00,20
170,완도,2026-04-04 06:00,4.7
170,완도,2026-04-04 07:00,.4
170,완도,2026-04-04 08:00,.1
172,고창,2026-04-04 01:00,1.7
172,고창,2026-04-04 02:00,2.7
172,고창,2026-04-04 03:00,2.5
172,고창,2026-04-04 04:00,3.9
172,고창,2026-04-04 05:00,9.4
172,고창,2026-04-04 06:00,8.7
172,고창,2026-04-04 07:00,8.8
172,고창,2026-04-04 08:00,2.2
172,고창,2026-04-04 09:00,.5
174,순천,2026-04-04 01:00,3
174,순천,2026-04-04 02:00,4.2
174,순천,2026-04-04 03:00,4.5
174,순천,2026-04-04 04:00,5.2
174,순천,2026-04-04 05:00,7.2
174,순천,2026-04-04 06:00,4.8
174,순천,2026-04-04 07:00,3
174,순천,2026-04-04 08:00,4.6
174,순천,2026-04-04 09:00,1.1
174,순천,2026-04-04 10:00,.1
177,홍성,2026-04-04 01:00,.4
177,홍성,2026-04-04 02:00,1
177,홍성,2026-04-04 03:00,3.2
177,홍성,2026-04-04 04:00,4.4
177,홍성,2026-04-04 05:00,2.4
177,홍성,2026-04-04 06:00,2.4
177,홍성,2026-04-04 07:00,2.3
177,홍성,2026-04-04 08:00,1
177,홍성,2026-04-04 09:00,1.1
177,홍성,2026-04-04 10:00,1
181,서청주,2026-04-04 01:00,.3
181,서청주,2026-04-04 02:00,1.3
181,서청주,2026-04-04 03:00,3.5
181,서청주,2026-04-04 04:00,4
181,서청주,2026-04-04 05:00,5.3
181,서청주,2026-04-04 06:00,3.5
181,서청주,2026-04-04 07:00,1
181,서청주,2026-04-04 08:00,1.9
181,서청주,2026-04-04 09:00,2.1
181,서청주,2026-04-04 10:00,.7
181,서청주,2026-04-04 11:00,.5
184,제주,2026-04-04 01:00,2
184,제주,2026-04-04 02:00,6.6
184,제주,2026-04-04 03:00,8.1
184,제주,2026-04-04 04:00,1.7
184,제주,2026-04-04 08:00,0
184,제주,2026-04-04 09:00,.5
184,제주,2026-04-04 10:00,0
185,고산,2026-04-04 01:00,5.2
185,고산,2026-04-04 02:00,12.2
185,고산,2026-04-04 03:00,8.4
185,고산,2026-04-04 04:00,.3
185,고산,2026-04-04 07:00,0
188,성산,2026-04-04 01:00,5.1
188,성산,2026-04-04 02:00,6.1
188,성산,2026-04-04 03:00,9.7
188,성산,2026-04-04 04:00,7.3
188,성산,2026-04-04 05:00,.3
188,성산,2026-04-04 06:00,.1
189,서귀포,2026-04-04 01:00,19.9
189,서귀포,2026-04-04 02:00,18.8
189,서귀포,2026-04-04 03:00,11.5
189,서귀포,2026-04-04 04:00,1.6
189,서귀포,2026-04-04 05:00,.6
189,서귀포,2026-04-04 06:00,0
189,서귀포,2026-04-04 07:00,0
189,서귀포,2026-04-04 08:00,0
189,서귀포,2026-04-04 09:00,.1
192,진주,2026-04-04 01:00,2.6
192,진주,2026-04-04 02:00,4.5
192,진주,2026-04-04 03:00,5.7
192,진주,2026-04-04 04:00,6.4
192,진주,2026-04-04 05:00,8.7
192,진주,2026-04-04 06:00,9.9
192,진주,2026-04-04 07:00,8.6
192,진주,2026-04-04 08:00,6.2
192,진주,2026-04-04 09:00,3.9
192,진주,2026-04-04 10:00,.3
192,진주,2026-04-04 11:00,.1
201,강화,2026-04-04 04:00,0
202,양평,2026-04-04 01:00,0
202,양평,2026-04-04 02:00,.1
202,양평,2026-04-04 03:00,0
202,양평,2026-04-04 04:00,.1
202,양평,2026-04-04 05:00,.6
202,양평,2026-04-04 06:00,.4
202,양평,2026-04-04 07:00,.9
202,양평,2026-04-04 08:00,1
202,양평,2026-04-04 09:00,.5
202,양평,2026-04-04 10:00,.1
203,이천,2026-04-04 01:00,0
203,이천,2026-04-04 02:00,.1
203,이천,2026-04-04 03:00,0
203,이천,2026-04-04 04:00,.4
203,이천,2026-04-04 05:00,1.7
203,이천,2026-04-04 06:00,1.4
203,이천,2026-04-04 07:00,1.4
203,이천,2026-04-04 08:00,1
203,이천,2026-04-04 09:00,.6
203,이천,2026-04-04 10:00,.3
211,인제,2026-04-04 05:00,0
211,인제,2026-04-04 06:00,.7
211,인제,2026-04-04 07:00,1.4
211,인제,2026-04-04 08:00,2.8
211,인제,2026-04-04 09:00,.5
212,홍천,2026-04-04 01:00,0
212,홍천,2026-04-04 02:00,0
212,홍천,2026-04-04 04:00,0
212,홍천,2026-04-04 05:00,.3
212,홍천,2026-04-04 06:00,.5
212,홍천,2026-04-04 07:00,1.3
212,홍천,2026-04-04 08:00,1
212,홍천,2026-04-04 09:00,1.2
212,홍천,2026-04-04 10:00,.3
216,태백,2026-04-04 03:00,.1
216,태백,2026-04-04 04:00,.6
216,태백,2026-04-04 05:00,1.1
216,태백,2026-04-04 06:00,.7
216,태백,2026-04-04 07:00,2.5
216,태백,2026-04-04 08:00,2.8
216,태백,2026-04-04 09:00,5.1
216,태백,2026-04-04 10:00,5.7
216,태백,2026-04-04 11:00,3.7
216,태백,2026-04-04 12:00,.8
217,정선군,2026-04-04 03:00,0
217,정선군,2026-04-04 04:00,0
217,정선군,2026-04-04 05:00,1.4
217,정선군,2026-04-04 06:00,1.1
217,정선군,2026-04-04 07:00,1.9
217,정선군,2026-04-04 08:00,2.3
217,정선군,2026-04-04 09:00,4.9
217,정선군,2026-04-04 10:00,4.7
217,정선군,2026-04-04 11:00,4.3
217,정선군,2026-04-04 12:00,1.5
217,정선군,2026-04-04 13:00,0
221,제천,2026-04-04 02:00,0
221,제천,2026-04-04 03:00,.5
221,제천,2026-04-04 04:00,1.5
221,제천,2026-04-04 05:00,2.4
221,제천,2026-04-04 06:00,1.9
221,제천,2026-04-04 07:00,1.4
221,제천,2026-04-04 08:00,2
221,제천,2026-04-04 09:00,4.6
221,제천,2026-04-04 10:00,3.5
221,제천,2026-04-04 11:00,1.9
221,제천,2026-04-04 12:00,.3
226,보은,2026-04-04 01:00,.4
226,보은,2026-04-04 02:00,1.7
226,보은,2026-04-04 03:00,3.6
226,보은,2026-04-04 04:00,6
226,보은,2026-04-04 05:00,5.2
226,보은,2026-04-04 06:00,4.6
226,보은,2026-04-04 07:00,4.7
226,보은,2026-04-04 08:00,5.7
226,보은,2026-04-04 09:00,6.5
226,보은,2026-04-04 10:00,1.4
232,천안,2026-04-04 01:00,0
232,천안,2026-04-04 02:00,.6
232,천안,2026-04-04 03:00,2.2
232,천안,2026-04-04 04:00,4.1
232,천안,2026-04-04 05:00,3.5
232,천안,2026-04-04 06:00,3
232,천안,2026-04-04 07:00,1.5
232,천안,2026-04-04 08:00,2.1
232,천안,2026-04-04 09:00,3.8
232,천안,2026-04-04 10:00,2
232,천안,2026-04-04 11:00,1
235,보령,2026-04-04 01:00,1.3
235,보령,2026-04-04 02:00,2.9
235,보령,2026-04-04 03:00,4.9
235,보령,2026-04-04 04:00,3.2
235,보령,2026-04-04 05:00,3.2
235,보령,2026-04-04 06:00,2.4
235,보령,2026-04-04 07:00,.7
235,보령,2026-04-04 08:00,2.8
235,보령,2026-04-04 09:00,.5
235,보령,2026-04-04 10:00,1
236,부여,2026-04-04 01:00,1.3
236,부여,2026-04-04 02:00,3.4
236,부여,2026-04-04 03:00,5
236,부여,2026-04-04 04:00,4.8
236,부여,2026-04-04 05:00,3.5
236,부여,2026-04-04 06:00,2.5
236,부여,2026-04-04 07:00,2
236,부여,2026-04-04 08:00,2.1
236,부여,2026-04-04 09:00,.8
236,부여,2026-04-04 10:00,.2
236,부여,2026-04-04 11:00,.3
238,금산,2026-04-04 01:00,1.6
238,금산,2026-04-04 02:00,3.5
238,금산,2026-04-04 03:00,5.5
238,금산,2026-04-04 04:00,5.4
238,금산,2026-04-04 05:00,5.8
238,금산,2026-04-04 06:00,6
238,금산,2026-04-04 07:00,5.2
238,금산,2026-04-04 08:00,6.7
238,금산,2026-04-04 09:00,3
238,금산,2026-04-04 10:00,.6
238,금산,2026-04-04 12:00,0
239,세종,2026-04-04 01:00,.3
239,세종,2026-04-04 02:00,2.8
239,세종,2026-04-04 03:00,6.6
239,세종,2026-04-04 04:00,4.8
239,세종,2026-04-04 05:00,6.5
239,세종,2026-04-04 06:00,3.1
239,세종,2026-04-04 07:00,1.4
239,세종,2026-04-04 08:00,2
239,세종,2026-04-04 09:00,1.5
239,세종,2026-04-04 10:00,.1
239,세종,2026-04-04 11:00,.1
243,부안,2026-04-04 01:00,1.8
243,부안,2026-04-04 02:00,4.4
243,부안,2026-04-04 03:00,5.5
243,부안,2026-04-04 04:00,6.7
243,부안,2026-04-04 05:00,6.8
243,부안,2026-04-04 06:00,6.1
243,부안,2026-04-04 07:00,4.3
243,부안,2026-04-04 08:00,2
243,부안,2026-04-04 09:00,.7
244,임실,2026-04-04 01:00,1.5
244,임실,2026-04-04 02:00,2
244,임실,2026-04-04 03:00,4
244,임실,2026-04-04 04:00,4.2
244,임실,2026-04-04 05:00,8.1
244,임실,2026-04-04 06:00,6.7
244,임실,2026-04-04 07:00,8.5
244,임실,2026-04-04 08:00,5.4
244,임실,2026-04-04 09:00,1.9
244,임실,2026-04-04 10:00,.3
245,정읍,2026-04-04 01:00,1.6
245,정읍,2026-04-04 02:00,3.2
245,정읍,2026-04-04 03:00,3.1
245,정읍,2026-04-04 04:00,5.2
245,정읍,2026-04-04 05:00,5.6
245,정읍,2026-04-04 06:00,7.7
245,정읍,2026-04-04 07:00,11.9
245,정읍,2026-04-04 08:00,4.3
245,정읍,2026-04-04 09:00,.7
247,남원,2026-04-04 01:00,1.2
247,남원,2026-04-04 02:00,1.9
247,남원,2026-04-04 03:00,2.6
247,남원,2026-04-04 04:00,3.6
247,남원,2026-04-04 05:00,6.1
247,남원,2026-04-04 06:00,3.6
247,남원,2026-04-04 07:00,.6
247,남원,2026-04-04 08:00,5.6
247,남원,2026-04-04 09:00,.4
247,남원,2026-04-04 10:00,.2
248,장수,2026-04-04 01:00,1.3
248,장수,2026-04-04 02:00,1.7
248,장수,2026-04-04 03:00,2.2
248,장수,2026-04-04 04:00,3.5
248,장수,2026-04-04 05:00,6.2
248,장수,2026-04-04 06:00,6.3
248,장수,2026-04-04 07:00,3.5
248,장수,2026-04-04 08:00,7.8
248,장수,2026-04-04 09:00,1
248,장수,2026-04-04 10:00,1
251,고창군,2026-04-04 01:00,1.7
251,고창군,2026-04-04 02:00,3.1
251,고창군,2026-04-04 03:00,2.8
251,고창군,2026-04-04 04:00,3.5
251,고창군,2026-04-04 05:00,7.2
251,고창군,2026-04-04 06:00,7.3
251,고창군,2026-04-04 07:00,6.1
251,고창군,2026-04-04 08:00,2.6
251,고창군,2026-04-04 09:00,.4
252,영광군,2026-04-04 01:00,2.3
252,영광군,2026-04-04 02:00,3
252,영광군,2026-04-04 03:00,4.9
252,영광군,2026-04-04 04:00,2.7
252,영광군,2026-04-04 05:00,10.9
252,영광군,2026-04-04 06:00,10
252,영광군,2026-04-04 07:00,9
252,영광군,2026-04-04 08:00,1.4
252,영광군,2026-04-04 09:00,.2
253,김해시,2026-04-04 01:00,2.1
253,김해시,2026-04-04 02:00,2.1
253,김해시,2026-04-04 03:00,2
253,김해시,2026-04-04 04:00,2.6
253,김해시,2026-04-04 05:00,3.7
253,김해시,2026-04-04 06:00,9.1
253,김해시,2026-04-04 07:00,8.9
253,김해시,2026-04-04 08:00,11.2
253,김해시,2026-04-04 09:00,6.8
253,김해시,2026-04-04 10:00,3.3
253,김해시,2026-04-04 11:00,.7
253,김해시,2026-04-04 12:00,.2
254,순창군,2026-04-04 01:00,3
254,순창군,2026-04-04 02:00,2.8
254,순창군,2026-04-04 03:00,4.1
254,순창군,2026-04-04 04:00,4.7
254,순창군,2026-04-04 05:00,9.2
254,순창군,2026-04-04 06:00,4.1
254,순창군,2026-04-04 07:00,8
254,순창군,2026-04-04 08:00,2.7
254,순창군,2026-04-04 09:00,1
254,순창군,2026-04-04 10:00,0
255,북창원,2026-04-04 01:00,2
255,북창원,2026-04-04 02:00,2.3
255,북창원,2026-04-04 03:00,3.6
255,북창원,2026-04-04 04:00,2.3
255,북창원,2026-04-04 05:00,4.4
255,북창원,2026-04-04 06:00,6.5
255,북창원,2026-04-04 07:00,3.4
255,북창원,2026-04-04 08:00,2.7
255,북창원,2026-04-04 09:00,3.5
255,북창원,2026-04-04 10:00,1.1
255,북창원,2026-04-04 11:00,1.3
255,북창원,2026-04-04 12:00,.2
257,양산시,2026-04-04 01:00,1.2
257,양산시,2026-04-04 02:00,2.1
257,양산시,2026-04-04 03:00,2.1
257,양산시,2026-04-04 04:00,2
257,양산시,2026-04-04 05:00,3.8
257,양산시,2026-04-04 06:00,5.2
257,양산시,2026-04-04 07:00,6.1
257,양산시,2026-04-04 08:00,6.6
257,양산시,2026-04-04 09:00,2.1
257,양산시,2026-04-04 10:00,2.9
257,양산시,2026-04-04 11:00,1.1
257,양산시,2026-04-04 12:00,.1
258,보성군,2026-04-04 01:00,5.1
258,보성군,2026-04-04 02:00,5.4
258,보성군,2026-04-04 03:00,6.3
258,보성군,2026-04-04 04:00,9.2
258,보성군,2026-04-04 05:00,9.1
258,보성군,2026-04-04 06:00,7.9
258,보성군,2026-04-04 07:00,9.4
258,보성군,2026-04-04 08:00,1.8
258,보성군,2026-04-04 09:00,.4
259,강진군,2026-04-04 01:00,5.2
259,강진군,2026-04-04 02:00,5.1
259,강진군,2026-04-04 03:00,7.1
259,강진군,2026-04-04 04:00,7.3
259,강진군,2026-04-04 05:00,4.6
259,강진군,2026-04-04 06:00,2
259,강진군,2026-04-04 07:00,1.2
259,강진군,2026-04-04 08:00,.7
259,강진군,2026-04-04 09:00,0
260,장흥,2026-04-04 01:00,4.4
260,장흥,2026-04-04 02:00,4.1
260,장흥,2026-04-04 03:00,5.9
260,장흥,2026-04-04 04:00,8.3
260,장흥,2026-04-04 05:00,8.4
260,장흥,2026-04-04 06:00,5.9
260,장흥,2026-04-04 07:00,3.3
260,장흥,2026-04-04 08:00,.2
260,장흥,2026-04-04 09:00,.7
